,activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
507,False,,,False,False,False,False,False,False,False,False,False,False,1o1,Lightning Toggle Metrics,Lightning Toggle Metrics,False,False,False,LightningToggleMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningToggleMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningToggleMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningToggleMetrics')])"
508,False,,,False,False,False,False,False,False,False,False,False,False,0bh,Lightning URI Event,Lightning URI Events,False,False,False,LightningUriEvent,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUriEvent/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningUriEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUriEvent')])"
509,False,,,False,False,False,False,False,False,False,False,False,False,0bi,Lightning URI Event Stream,Lightning URI Event Streams,False,False,False,LightningUriEventStream,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUriEventStream/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/LightningUriEventStream/eventSchema'), ('describe', '/services/data/v57.0/sobjects/LightningUriEventStream/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUriEventStream')])"
510,False,,,False,False,False,False,False,False,False,False,False,False,62C,Lightning Usage By App Type Metrics,Lightning Usage By App Type Metrics,False,False,False,LightningUsageByAppTypeMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUsageByAppTypeMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningUsageByAppTypeMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUsageByAppTypeMetrics')])"
511,False,,,False,False,False,False,False,False,False,False,False,False,3mK,Lightning Usage By Browser Metrics,Lightning Usage By Browser Metrics,False,False,False,LightningUsageByBrowserMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUsageByBrowserMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningUsageByBrowserMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUsageByBrowserMetrics')])"
512,False,,,False,False,False,False,False,False,False,False,False,False,7pV,Lightning Usage By FlexiPage Metrics,Lightning Usage By FlexiPage Metrics,False,False,False,LightningUsageByFlexiPageMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUsageByFlexiPageMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningUsageByFlexiPageMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUsageByFlexiPageMetrics')])"
513,False,,,False,False,False,False,False,False,False,False,False,False,0U5,Lightning Usage By Page Metrics,Lightning Usage By Page Metrics,False,False,False,LightningUsageByPageMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/LightningUsageByPageMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/LightningUsageByPageMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/LightningUsageByPageMetrics')])"
514,False,,,True,False,False,False,True,False,False,False,False,False,0XB,List Email,List Emails,True,False,True,ListEmail,True,True,True,True,False,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/ListEmail/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/ListEmail/{ID}'), ('describe', '/services/data/v57.0/sobjects/ListEmail/describe'), ('layouts', '/services/data/v57.0/sobjects/ListEmail/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ListEmail')])"
515,False,ChangeEvent,ListEmail,False,False,False,False,False,False,False,False,False,False,,List Email Change Event,List Email Change Event,False,False,False,ListEmailChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ListEmailChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/ListEmailChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/ListEmailChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/ListEmailChangeEvent')])"
516,False,,,True,False,False,False,True,False,False,False,False,False,0XF,List Email Individual Recipient,List Email Individual Recipients,False,False,False,ListEmailIndividualRecipient,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ListEmailIndividualRecipient/{ID}'), ('describe', '/services/data/v57.0/sobjects/ListEmailIndividualRecipient/describe'), ('sobject', '/services/data/v57.0/sobjects/ListEmailIndividualRecipient')])"
